Student,L001,V001,V002,V003,V004,V005,V006,V007
S001,56,82,74,68,78,87,63,79
S002,55,31,39,56,50,58,51,60
S003,52,83,88,79,85,66,62,74
S004,54,34,35,49,49,61,61,62
S005,56,74,54,49,53,60,54,73
S006,62,63,55,63,63,66,62,75
S007,61,85,76,79,79,64,66,82
S008,58,72,69,82,76,77,68,74
S009,58,82,47,46,69,64,58,64
S010,59,56,42,60,33,65,60,67
S011,53,69,68,65,49,73,62,68
S012,58,72,65,60,65,69,63,64
S013,57,72,54,53,41,71,64,69
S014,50,87,92,80,75,72,71,82
S015,45,24,16,34,41,58,32,70
S016,57,58,53,55,46,59,56,76
S017,48,40,39,52,42,59,43,76
S018,54,84,85,88,61,83,65,66
S019,61,80,81,79,79,61,70,71
S020,53,55,39,52,40,69,56,64
S021,56,76,67,66,63,62,61,77
S022,55,55,59,55,46,63,63,52
S023,59,49,34,55,42,50,53,58
S024,52,71,44,57,43,60,51,73
S025,58,50,45,54,38,60,54,65
S026,60,80,65,74,58,66,61,77
S027,39,50,37,53,24,55,63,73
S028,54,91,81,82,92,61,60,83
S029,52,64,52,61,57,59,46,61
S030,62,68,64,71,53,74,66,53
S031,58,20,25,23,19,59,46,47
S033,62,91,86,79,91,71,71,71
S034,50,51,44,43,31,64,44,71
S035,42,28,36,22,40,58,33,60
S036,49,18,32,33,17,50,57,54
S037,66,65,55,65,53,58,59,73
S038,61,55,43,57,49,63,53,73
S040,58,57,50,59,39,63,56,74
S041,52,88,71,76,92,66,60,63
S042,49,42,45,47,44,64,43,61
S043,51,37,46,53,25,53,56,69
S044,58,82,75,69,64,73,73,69
S045,59,85,76,72,70,85,69,77
S046,62,88,77,74,92,55,74,74
S047,67,64,73,64,79,68,66,62
S048,49,42,45,35,56,45,41,65
S049,42,43,41,47,10,49,68,59
S050,58,76,73,73,77,68,65,59
S051,61,64,60,55,52,67,63,61
S052,40,50,0,24,70,40,28,0
S053,60,71,69,60,37,77,53,64
S054,53,69,62,64,62,56,63,66
S055,61,66,69,69,63,80,69,66
S056,63,82,66,60,84,61,66,63
S057,59,88,83,80,90,65,68,75
S058,57,66,76,72,64,75,56,70
S059,59,95,87,81,95,80,71,82
S060,73,83,73,76,86,69,72,76
S061,49,62,70,,53,72,74,68
S062,52,69,62,75,52,69,67,66
S063,61,21,36,29,17,65,69,40
S064,55,77,65,55,89,85,58,75
S065,66,84,79,83,85,78,78,81
S066,48,52,57,57,46,55,71,68
S067,62,70,79,78,74,64,67,74
S068,51,86,81,83,79,79,62,73
S069,63,66,51,53,84,67,64,72
S070,42,55,61,61,48,75,64,62
S071,56,59,72,68,50,74,58,69
S072,14,20,28,19,16,35,20,37
S073,64,83,88,80,82,55,69,60
S074,59,77,78,73,93,67,63,72
S075,58,83,56,59,78,69,64,73
S076,60,62,38,59,57,72,66,73
S077,56,58,54,60,51,63,56,61
S078,50,51,50,63,58,58,49,55
S079,60,62,66,65,59,69,62,67
S080,61,70,55,73,56,63,63,67
S081,62,82,70,72,81,73,55,72
S082,58,85,93,82,88,68,65,74
S083,69,57,65,58,56,63,67,68
S084,55,79,71,67,68,54,67,80
S085,61,85,81,82,88,70,67,61
